cycle,timestamp,current_price,snapshot_last_price,predicted_price_1m,predicted_price_5m,predicted_price_10m,predicted_price_15m,predicted_price_30m,predicted_price_60m,move_1m_pct,move_5m_pct,move_10m_pct,move_15m_pct,move_30m_pct,move_60m_pct,signal,signal_type,entry_price,target_exit_price,stop_loss,take_profit,signal_reason,position_side,position_avg_entry,position_qty,position_target_exit,position_stop_loss,position_take_profit,position_dca_count,position_unrealized_pnl,position_return_pct,free_cash,realized_pnl_total,account_equity,model_fitted_at,model_expires_at,fit_triggered,fit_sec,matured_60m_count,latest_abs_err_60m,latest_pct_err_60m
1,2026-03-09 06:37:00+00:00,67346.6,67344.2,67346.39257586193,67345.89803208814,67348.35718548455,67345.65067399478,67340.59000598296,67330.40225604092,-0.00030799496645306235,-0.001042321233535315,0.0026091673292372164,-0.0014096123712614705,-0.008923975400465523,-0.02405131656102455,hold,none,67346.6,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,True,1.2476618999789935,0,,
2,2026-03-09 06:38:00+00:00,67356.2,67356.2,67356.14449297055,67354.82249475218,67357.91039875498,67353.6574581465,67349.12250205319,67340.24968786367,-8.240819620031203e-05,-0.002045105347114884,0.002539333802942245,-0.0037747703307222658,-0.01050756715315071,-0.023680540375381476,hold,none,67356.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
3,2026-03-09 06:39:00+00:00,67370.1,67370.1,67367.60188566011,67370.84454757906,67369.76824816488,67367.29181757304,67362.91794449625,67353.23724404504,-0.003708046061812187,0.0011051602700096197,-0.0004924318579346831,-0.004168291908368538,-0.010660597956302365,-0.025030029575379142,hold,none,67370.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
4,2026-03-09 06:41:00+00:00,67317.4,67300.0,67320.17688601186,67322.8089870991,67320.17208696042,67318.27184796562,67313.02861320952,67301.6220224686,0.004125064265503298,0.00803505052051623,0.004117935274416951,0.0012951301827213157,-0.006493695226605922,-0.023438186161972574,hold,none,67317.4,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
5,2026-03-09 06:42:00+00:00,67270.9,67265.7,67269.99422104226,67273.81355333446,67270.87808584764,67269.2126324595,67262.12518756786,67251.878470728,-0.0013464647533156793,0.004331075300711973,-3.257597617212227e-05,-0.0025083171779960445,-0.013043994404915438,-0.028276014252814896,hold,none,67270.9,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
6,2026-03-09 06:43:00+00:00,67310.2,67310.2,67312.30076481735,67313.2480055986,67308.92451673017,67309.62398172254,67301.44278503167,67292.13007178267,0.0031210200197806515,0.004528296749373162,-0.0018949331153761406,-0.0008557667002251357,-0.013010234657340192,-0.026845750298365445,hold,none,67310.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
7,2026-03-09 06:44:00+00:00,67327.0,67327.0,67327.08083120153,67325.98558945248,67323.45867478845,67325.33065658963,67315.79082925012,67306.65410539684,0.00012005763145861437,-0.001506692036656876,-0.005259888620545716,-0.0024794561028440576,-0.016648849272771216,-0.030219517583085498,hold,none,67327.0,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
8,2026-03-09 06:45:00+00:00,67306.2,67306.3,67307.82620314484,67303.97067892825,67302.18423698869,67303.6811798002,67293.75459989281,67283.79166576902,0.002416126812754271,-0.003312207600114636,-0.005966408757751562,-0.0037423301267880404,-0.01849071869632901,-0.033293120442057234,hold,none,67306.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
9,2026-03-09 06:46:00+00:00,67259.4,67254.8,67259.54101959917,67256.20692882803,67254.08568785126,67253.82700436341,67245.11566720402,67234.63967013624,0.00020966526490528992,-0.004747397645477047,-0.007901218489514417,-0.0082858241919892,-0.0212376750253096,-0.036813188734596825,hold,none,67259.4,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
10,2026-03-09 06:47:00+00:00,67256.8,67258.4,67256.29923599362,67253.06105890466,67251.46904883283,67251.24289621098,67242.29363373911,67230.6616196436,-0.0007445552068885419,-0.005559201590543683,-0.00792626346655112,-0.008262515892842881,-0.021568623932288755,-0.03886355038659195,hold,none,67256.8,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
11,2026-03-09 06:48:00+00:00,67233.0,67239.7,67230.70630822591,67228.08102110881,67228.53639107243,67224.3481596365,67218.98323071116,67206.73959702575,-0.0034115564887637895,-0.00731631623041018,-0.006639014959286538,-0.012868443120939155,-0.020848049750621378,-0.03905879995574901,hold,none,67233.0,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
12,2026-03-09 06:49:00+00:00,67305.1,67307.1,67303.86563703646,67302.07014224766,67304.13696117152,67300.89119338962,67293.82014169391,67281.65271198287,-0.0018339813231738056,-0.004501676325197046,-0.0014308556535613803,-0.006253324949212491,-0.016759292098356138,-0.03483731250252253,hold,none,67305.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
13,2026-03-09 06:50:00+00:00,67299.1,67300.0,67299.84737277045,67297.03481551228,67298.93773692247,67295.87441358542,67288.41832503359,67275.64945032094,0.0011105241681574896,-0.0030686658331613437,-0.00024110735141746886,-0.004792911665363331,-0.01587194325988195,-0.03484526491299711,hold,none,67299.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
14,2026-03-09 06:51:00+00:00,67272.7,67267.7,67272.09336082841,67270.6067221886,67270.66236764929,67268.30054227718,67261.6604269629,67249.44408246735,-0.0009017612963124755,-0.003111630440566504,-0.0030289141816908227,-0.006539737104083176,-0.016410182788995087,-0.03456962115783169,hold,none,67272.7,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
15,2026-03-09 06:52:00+00:00,67343.3,67343.2,67341.70652492646,67342.10371071563,67342.02769120883,67341.17260804638,67334.0223472653,67322.3946542644,-0.0023661968949317824,-0.0017764043110046757,-0.001889287859624389,-0.003159025402110771,-0.013776652962804725,-0.031042948200643572,hold,none,67343.3,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
16,2026-03-09 06:53:00+00:00,67237.2,67237.0,67236.7304988848,67239.87254312608,67235.9252568447,67239.21497904215,67232.06359383007,67219.51252299623,-0.0006982758282481072,0.00397479836471426,-0.0018958897088250382,0.002996821762590862,-0.007639232701428522,-0.02630608800451295,hold,none,67237.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
17,2026-03-09 06:54:00+00:00,67284.5,67284.5,67284.27335868089,67287.92739067887,67284.30602638712,67286.7674743283,67279.88252421448,67266.2914054193,-0.0003368403110770579,0.005093878499318194,-0.0002882887037647386,0.003369980200940148,-0.006862614399327782,-0.02706209391569736,hold,none,67284.5,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
18,2026-03-09 06:55:00+00:00,67229.0,67227.4,67230.73479449173,67233.40421594604,67230.64760456498,67232.76560162216,67225.10711523182,67211.90777190258,0.002580425845577494,0.0065510656800382705,0.002450734898595819,0.00560115667667116,-0.005790484416223762,-0.02542389162031311,hold,none,67229.0,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
19,2026-03-09 06:56:00+00:00,67253.5,67253.5,67254.61031438713,67254.43589860837,67252.41741463207,67254.32890189835,67246.7285271287,67233.5314417885,0.0016509391884911295,0.001391598367916913,-0.0016097085920097065,0.0012325037334059985,-0.010068580625999246,-0.029691478081450562,hold,none,67253.5,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
20,2026-03-09 06:57:00+00:00,67238.8,67239.9,67239.3100222645,67238.54412678364,67237.32130871079,67237.00653049974,67229.75630756612,67216.99232157251,0.0007585237459695193,-0.0003805439959703172,-0.002199163710858709,-0.002667313367077373,-0.013450109808454958,-0.032433176123736196,hold,none,67238.8,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
21,2026-03-09 06:58:00+00:00,67255.4,67251.8,67255.71721101718,67251.34955137304,67254.73535130231,67252.51489676489,67246.45574445919,67232.59238624583,0.00047165137251337086,-0.006022488345847066,-0.000988245847444169,-0.0042897718772194615,-0.013298940368811074,-0.03391194425156341,hold,none,67255.4,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
22,2026-03-09 06:59:00+00:00,67210.1,67210.1,67209.92694912337,67206.81149772937,67209.1966529515,67206.86715443264,67202.06705869029,67186.43806919725,-0.0002574774872088348,-0.004892869182804294,-0.0013440644315410033,-0.004810059153859125,-0.011951985355951322,-0.03520591518649807,hold,none,67210.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
23,2026-03-09 07:00:00+00:00,67200.1,67206.5,67199.020599713,67197.17845585944,67199.41088435303,67196.28582723369,67191.3611635423,67175.88059105606,-0.0016062480368450593,-0.004347529453929688,-0.0010254681867771787,-0.005675843884633824,-0.013004201567712315,-0.036040733486919496,hold,none,67200.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
24,2026-03-09 07:01:00+00:00,67214.2,67214.3,67214.48388458477,67212.60360793583,67214.54943417718,67211.01329718734,67205.90798226294,67189.83560016792,0.00042235805048917996,-0.0023750815514644863,0.0005198814791995687,-0.004741115437900678,-0.012336705245397095,-0.036248887633971716,hold,none,67214.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
25,2026-03-09 07:02:00+00:00,67167.2,67164.2,67163.9685913058,67166.78798110424,67166.39686590787,67163.08822467264,67158.89615764651,67142.8600063893,-0.004810992112502799,-0.0006134227655163471,-0.0011957236450643727,-0.006121701257988388,-0.012362942557508916,-0.036237916141657056,hold,none,67167.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
26,2026-03-09 07:03:00+00:00,67100.0,67102.2,67101.1331629781,67104.41342599674,67102.20732244103,67099.50675576941,67095.84733929085,67080.8068615454,0.0016887674785470708,0.006577385986195061,0.0032896012533978336,-0.0007350882721079977,-0.0061887640970925695,-0.028603783091807333,hold,none,67100.0,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
27,2026-03-09 07:04:00+00:00,67129.1,67132.0,67129.3407022306,67132.2053610513,67129.7745180104,67126.87616345081,67124.28296688563,67108.84655117994,0.0003585661517924166,0.004625953649450842,0.0010048071706458828,-0.003312775754771291,-0.007175774908907417,-0.03017089283195995,hold,none,67129.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
28,2026-03-09 07:05:00+00:00,67098.2,67088.3,67098.42806473622,67101.14262140366,67097.68919853636,67095.04294722756,67093.98314752858,67077.102280142,0.00033989695136238396,0.004385544476104286,-0.0007612744658325177,-0.0047051228981409565,-0.006284598501038463,-0.03144304893125671,hold,none,67098.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
29,2026-03-09 07:07:00+00:00,67158.3,67155.1,67159.74224248769,67157.50391629014,67153.55343348935,67151.9826356829,67153.4296947403,67134.2948025773,0.00214752679517094,-0.0011853839508524366,-0.007067728799947659,-0.009406676936585256,-0.007251978176481266,-0.03574420052727678,hold,none,67158.3,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
30,2026-03-09 07:08:00+00:00,67160.4,67146.0,67160.18302169596,67157.79981045894,67154.42251752735,67153.59852854532,67156.04091667604,67135.34088220588,-0.0003230747643412357,-0.0038716111593450897,-0.00890030802771502,-0.010127205101029269,-0.006490555928728714,-0.037312341490092216,hold,none,67160.4,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
31,2026-03-09 07:09:00+00:00,67173.5,67177.2,67173.49369379877,67170.35785314978,67168.05003029988,67167.94838687016,67169.03448197553,67148.8958886475,-9.387930111071086e-06,-0.004677658377516547,-0.008113273389231956,-0.008264588163242603,-0.006647737611520377,-0.036627704902225666,hold,none,67173.5,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
32,2026-03-09 07:10:00+00:00,67216.5,67212.2,67216.64823818742,67212.42690936533,67210.23733753503,67211.2950725518,67212.1027314444,67192.480757188,0.00022053839074942516,-0.006059658915102961,-0.009317150498722171,-0.007743526437997694,-0.006541948116300933,-0.035734146841925885,hold,none,67216.5,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
33,2026-03-09 07:11:00+00:00,67198.2,67203.8,67196.22966357828,67192.99116662514,67191.9169779516,67192.92405474375,67192.51421797111,67173.0855724636,-0.0029321267857040922,-0.007751447769221986,-0.009349985637119307,-0.007851319315466121,-0.008461211801635837,-0.0373736611046005,hold,none,67198.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
34,2026-03-09 07:12:00+00:00,67243.2,67240.5,67242.72176368856,67238.92555368082,67238.77930780355,67239.50631738236,67239.68332887776,67219.58339269306,-0.0007112039751788757,-0.006356696765141834,-0.006574184745000711,-0.0054930202870173694,-0.005229779549820179,-0.03512118297007705,hold,none,67243.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
35,2026-03-09 07:13:00+00:00,67171.1,67168.0,67170.81716679965,67168.49795471536,67167.48333352196,67171.99739256158,67170.60701589547,67149.89763514456,-0.00042106382113216156,-0.003873757143535439,-0.005384259715934814,0.0013359801485535172,-0.0007339229289637927,-0.03156471288313645,hold,none,67171.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
36,2026-03-09 07:14:00+00:00,67157.6,67160.6,67156.74229241426,67155.47124457858,67155.90698115507,67159.44387878937,67157.62247077105,67136.73028626927,-0.0012771563988933643,-0.0031697907927341618,-0.0025209638893186614,0.002745599588682701,3.3459758896903224e-05,-0.031075728928264823,hold,none,67157.6,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
37,2026-03-09 07:15:00+00:00,67172.6,67172.5,67172.19256036407,67170.86838146909,67171.7805435713,67175.48235597445,67172.49517249364,67153.23931253204,-0.000606556298154981,-0.002577864383568329,-0.0012199266199441894,0.004290969791931332,-0.0001560569434011505,-0.028822298776531863,hold,none,67172.6,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
38,2026-03-09 07:16:00+00:00,67158.5,67158.5,67157.3688717097,67157.17794988716,67159.56147139525,67162.20079925928,67160.35274643362,67140.69293208567,-0.0016842667574512582,-0.001968552175579674,0.0015805466102580823,0.005510544844344878,0.002758766848010019,-0.026514987550829705,hold,none,67158.5,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
39,2026-03-09 07:17:00+00:00,67116.1,67110.1,67116.40034589655,67116.24029597451,67116.72884640032,67119.8952062946,67115.4570346619,67098.11221715085,0.0004475020100036531,0.000209034753950732,0.0009369531309477708,0.005654688360312576,-0.0009579897194633702,-0.026800995363496227,hold,none,67116.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
40,2026-03-09 07:18:00+00:00,66977.5,66996.2,66977.56474013695,66978.50955899787,66982.43614715284,66984.93233140752,66982.72417187752,66965.7574638347,9.66595303575346e-05,0.0015073106608642917,0.007369858762773518,0.011096758474882229,0.00779989082531074,-0.017532061013469935,hold,none,66977.5,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
41,2026-03-09 07:19:00+00:00,66916.6,66916.5,66917.83436732573,66925.94277980595,66927.77597663713,66933.27836326024,66929.2988939081,66914.57916655604,0.0018446354502987816,0.013961826820163559,0.016701351588577218,0.024924104422874294,0.018977195356750798,-0.003019928454173204,hold,none,66916.6,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
42,2026-03-09 07:20:00+00:00,67038.4,67046.2,67039.65874118889,67045.24815127924,67044.81807896832,67052.58492021162,67049.71762601723,67032.85297924493,0.001877642051262285,0.010215266592350503,0.009573735304435615,0.021159395527980962,0.016882303302634405,-0.008274393116580736,hold,none,67038.4,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
43,2026-03-09 07:21:00+00:00,67003.7,67003.7,67005.73163168714,67010.34127487351,67009.74456465266,67017.01173099247,67013.17665315917,66996.2740932956,0.0030321186548665224,0.00991180318925533,0.009021240099671424,0.019867158071074087,0.01414347738881716,-0.01108283080546446,hold,none,67003.7,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
44,2026-03-09 07:22:00+00:00,67024.3,67023.8,67026.05092564561,67026.1187312358,67027.36502476926,67036.18733398961,67031.65464141921,67014.1852709445,0.0026123743860129167,0.0027135400680000643,0.004573005267127783,0.01773585697963931,0.010973096950217531,-0.015091137177869474,hold,none,67024.3,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
